,Asian Sales,North America Sales,Japan Sales,Europe Sales,Global Sales,VG Score,Critic Score,User Score,Total Shipped,Production Cost,Meta Score,Release Year,Release Month,Release Quarter,Release Week Day,Release Week
Asian Sales, 1.00 , 0.37 , 0.13 , 0.43 , 0.64 , 0.03 , 0.06 , (0.03), (0.11), 0.05 , 0.02 , 0.06 , 0.01 , 0.00 , 0.04 , 0.01 
North America Sales, 0.37 , 1.00 , 0.22 , 0.49 , 0.76 , 0.01 , (0.04), 0.01 , (0.12), 0.05 , 0.02 , 0.09 , 0.06 , 0.06 , 0.13 , 0.06 
Japan Sales, 0.13 , 0.22 , 1.00 , 0.20 , 0.49 , (0.04), (0.10), 0.02 , (0.02), 0.04 , (0.02), (0.09), (0.01), (0.02), 0.03 , (0.00)
Europe Sales, 0.43 , 0.49 , 0.20 , 1.00 , 0.81 , 0.05 , (0.05), (0.05), (0.14), 0.04 , (0.01), 0.09 , (0.00), (0.00), 0.14 , (0.01)
Global Sales, 0.64 , 0.76 , 0.49 , 0.81 , 1.00 , 0.03 , (0.04), (0.03), (0.16), 0.06 , 0.05 , 0.05 , 0.02 , 0.02 , 0.13 , 0.03 
VG Score, 0.03 , 0.01 , (0.04), 0.05 , 0.03 , 1.00 , (0.00), 0.03 , (0.11), (0.01), (0.03), 0.32 , (0.04), (0.05), (0.01), (0.04)
Critic Score, 0.06 , (0.04), (0.10), (0.05), (0.04), (0.00), 1.00 , 0.02 , (0.01), 0.00 , 0.15 , 0.02 , (0.02), (0.01), (0.03), (0.02)
User Score, (0.03), 0.01 , 0.02 , (0.05), (0.03), 0.03 , 0.02 , 1.00 , (0.03), 0.04 , 0.01 , 0.01 , (0.00), (0.01), (0.03), (0.00)
Total Shipped, (0.11), (0.12), (0.02), (0.14), (0.16), (0.11), (0.01), (0.03), 1.00 , 0.06 , (0.03), (0.22), 0.06 , 0.05 , (0.03), 0.05 
Production Cost, 0.05 , 0.05 , 0.04 , 0.04 , 0.06 , (0.01), 0.00 , 0.04 , 0.06 , 1.00 , 0.02 , (0.03), 0.02 , 0.02 , 0.03 , 0.02 
Meta Score, 0.02 , 0.02 , (0.02), (0.01), 0.05 , (0.03), 0.15 , 0.01 , (0.03), 0.02 , 1.00 , (0.12), (0.04), (0.03), (0.07), (0.03)
Release Year, 0.06 , 0.09 , (0.09), 0.09 , 0.05 , 0.32 , 0.02 , 0.01 , (0.22), (0.03), (0.12), 1.00 , (0.11), (0.11), 0.02 , (0.11)
Release Month, 0.01 , 0.06 , (0.01), (0.00), 0.02 , (0.04), (0.02), (0.00), 0.06 , 0.02 , (0.04), (0.11), 1.00 , 0.97 , 0.01 , 1.00 
Release Quarter, 0.00 , 0.06 , (0.02), (0.00), 0.02 , (0.05), (0.01), (0.01), 0.05 , 0.02 , (0.03), (0.11), 0.97 , 1.00 , 0.02 , 0.97 
Release Week Day, 0.04 , 0.13 , 0.03 , 0.14 , 0.13 , (0.01), (0.03), (0.03), (0.03), 0.03 , (0.07), 0.02 , 0.01 , 0.02 , 1.00 , (0.00)
Release Week, 0.01 , 0.06 , (0.00), (0.01), 0.03 , (0.04), (0.02), (0.00), 0.05 , 0.02 , (0.03), (0.11), 1.00 , 0.97 , (0.00), 1.00 
